t,mox
[s],[g/s]
0,2.323539
0.005,2.404468
0.01,2.418543
0.015,2.443173
0.02,2.510027
0.025,2.47836
0.03,2.534658
0.035,2.583919
0.04,2.583919
0.045,2.640217
0.05,2.647254
0.055,2.643735
0.06,2.710589
0.065,2.73522
0.07,2.714108
0.075,2.717627
0.08,2.766887
0.085,2.784481
0.09,2.770406
0.095,2.795036
0.1,2.840779
0.105,2.847816
0.11,2.83726
0.115,2.847816
0.12,2.865409
0.125,2.900596
0.13,2.921708
0.135,2.886521
0.14,2.904114
0.145,2.935782
0.15,2.928745
0.155,2.935782
0.16,2.956894
0.165,2.985043
0.17,2.995599
0.175,2.963931
0.18,2.981524
0.185,2.999117
0.19,3.016711
0.195,2.99208
0.2,2.985043
0.205,2.999117
0.21,3.009674
0.215,3.020229
0.22,2.995599
0.225,3.013192
0.23,3.037823
0.235,3.051897
0.24,3.034304
0.245,3.030785
0.25,3.065972
0.255,3.076527
0.26,3.048378
0.265,3.06949
0.27,3.076527
0.275,3.055416
0.28,3.055416
0.285,3.087083
0.29,3.06949
0.295,3.058934
0.3,3.076527
0.305,3.083565
0.31,3.104676
0.315,3.12227
0.32,3.12227
0.325,3.087083
0.33,3.080046
0.335,3.087083
0.34,3.118751
0.345,3.104676
0.35,3.087083
0.355,3.094121
0.36,3.125789
0.365,3.104676
0.37,3.101158
0.375,3.115232
0.38,3.115232
0.385,3.143382
0.39,3.125789
0.395,3.136344
0.4,3.104676
0.405,3.125789
0.41,3.153938
0.415,3.153938
0.42,3.136344
0.425,3.132825
0.43,3.12227
0.435,3.118751
0.44,3.150419
0.445,3.139863
0.45,3.160975
0.455,3.125789
0.46,3.118751
0.465,3.139863
0.47,3.168012
0.475,3.118751
0.48,3.139863
0.485,3.150419
0.49,3.160975
0.495,3.132825
0.5,3.125789
0.505,3.153938
0.51,3.178568
0.515,3.171531
0.52,3.1469
0.525,3.1469
0.53,3.164493
0.535,3.164493
0.54,3.157456
0.545,3.129307
0.55,3.1469
